,topic,prev_section,next_section,prev_doc_text,next_doc_text,questions,answers,scores
49,deep learning,History,History,"Some sources point out that Frank Rosenblatt developed and explored all of the basic ingredients of the deep learning systems of today. He described it in his book ""Principles of Neurodynamics: Perceptrons and the Theory of Brain Mechanisms"", published by Cornell Aeronautical Laboratory, Inc., Cornell University in 1962.
","The first general, working learning algorithm for supervised, deep, feedforward, multilayer perceptrons was published by Alexey Ivakhnenko and Lapa in 1967. A 1971 paper described a deep network with eight layers trained by the group method of data handling. Other deep learning working architectures, specifically those built for computer vision, began with the Neocognitron introduced by Kunihiko Fukushima in 1980.","[' In what year was the first working learning algorithm published?', ' What was the name of the first general learning algorithm?', ' How many layers were in the deep network described in a 1971 paper?', ' Who introduced the Neocognitron in 1980?', ' What was the first deep learning working architecture?']","['1967', 'Alexey Ivakhnenko and Lapa', 'eight', 'Kunihiko Fukushima', 'Neocognitron']","[0.9924094080924988, 0.3370015323162079, 0.8506055772304535, 0.9930050671100616, 0.48058120906352997]"
50,deep learning,History,History,"The first general, working learning algorithm for supervised, deep, feedforward, multilayer perceptrons was published by Alexey Ivakhnenko and Lapa in 1967. A 1971 paper described a deep network with eight layers trained by the group method of data handling. Other deep learning working architectures, specifically those built for computer vision, began with the Neocognitron introduced by Kunihiko Fukushima in 1980.","The term Deep Learning was introduced to the machine learning community by Rina Dechter in 1986, and to artificial neural networks by Igor Aizenberg and colleagues in 2000, in the context of Boolean threshold neurons.","[' What term was introduced to the machine learning community by Rina Dechter in 1986?', ' In what year was the term Deep Learning introduced to artificial neural networks by Igor Aizenberg and colleagues?']","['Deep Learning', '2000']","[0.9924200177192688, 0.9826118648052216]"
51,deep learning,History,History,"The term Deep Learning was introduced to the machine learning community by Rina Dechter in 1986, and to artificial neural networks by Igor Aizenberg and colleagues in 2000, in the context of Boolean threshold neurons.","In 1989, Yann LeCun et al. applied the standard backpropagation algorithm, which had been around as the reverse mode of automatic differentiation since 1970, to a deep neural network with the purpose of recognizing handwritten ZIP codes on mail. While the algorithm worked, training required 3 days.","[' When did Yann LeCun apply the standard backpropagation algorithm to a deep neural network?', ' What was the purpose of the algorithm?', ' How long did training the algorithm take?']","['1989', 'recognizing handwritten ZIP codes on mail', '3 days']","[0.976088285446167, 0.8488529324531555, 0.9269328713417053]"
52,deep learning,History,History,"In 1989, Yann LeCun et al. applied the standard backpropagation algorithm, which had been around as the reverse mode of automatic differentiation since 1970, to a deep neural network with the purpose of recognizing handwritten ZIP codes on mail. While the algorithm worked, training required 3 days.","In 1994, André de Carvalho, together with Mike Fairhurst and David Bisset, published experimental results of a multi-layer boolean neural network, also known as a weightless neural network, composed of a 3-layers self-organising feature extraction neural network module (SOFT) followed by a multi-layer classification neural network module (GSN), which were independently trained. Each layer in the feature extraction module extracted features with growing complexity regarding the previous layer.","[' André de Carvalho, Mike Fairhurst and David Bisset published experimental results of what in 1994?', ' What is another name for a multi-layer boolean neural network?', ' How many layers does SOFT consist of?', ' What is a GSN?', ' What did each layer in the feature extraction module extract features with?']","['a multi-layer boolean neural network', 'weightless neural network', '3', 'multi-layer classification neural network module', 'growing complexity']","[0.7067319750785828, 0.8183109164237976, 0.7925124168395996, 0.750535637140274, 0.7367326617240906]"
53,deep learning,History,History,"In 1994, André de Carvalho, together with Mike Fairhurst and David Bisset, published experimental results of a multi-layer boolean neural network, also known as a weightless neural network, composed of a 3-layers self-organising feature extraction neural network module (SOFT) followed by a multi-layer classification neural network module (GSN), which were independently trained. Each layer in the feature extraction module extracted features with growing complexity regarding the previous layer.","In 1995, Brendan Frey demonstrated that it was possible to train (over two days) a network containing six fully connected layers and several hundred hidden units using the wake-sleep algorithm, co-developed with Peter Dayan and Hinton. Many factors contribute to the slow speed, including the vanishing gradient problem analyzed in 1991 by Sepp Hochreiter.","[' In what year did Brendan Frey demonstrate that it was possible to train a network containing six fully connected layers and several hundred hidden units using the wake-sleep algorithm?', ' Along with Peter Dayan and Hinton, what co-developer of the wake - sleep algorithm worked with Frey?', ' What problem contributes to the slow speed?', ' What problem was analyzed in 1991 by Sepp Hochreiter?']","['1995', 'Brendan Frey', 'vanishing gradient problem', 'vanishing gradient']","[0.9694570899009705, 0.9539053738117218, 0.7622645497322083, 0.6606166064739227]"
54,deep learning,History,History,"In 1995, Brendan Frey demonstrated that it was possible to train (over two days) a network containing six fully connected layers and several hundred hidden units using the wake-sleep algorithm, co-developed with Peter Dayan and Hinton. Many factors contribute to the slow speed, including the vanishing gradient problem analyzed in 1991 by Sepp Hochreiter.","Since 1997, Sven Behnke extended the feed-forward hierarchical convolutional approach in the Neural Abstraction Pyramid by lateral and backward connections in order to flexibly incorporate context into decisions and iteratively resolve local ambiguities.
",[' In what year did Sven Behnke extend the feed-forward hierarchical convolutional approach in the Neural Abstraction Pyramid?'],['1997'],[0.9885925352573395]
55,deep learning,History,History,"Since 1997, Sven Behnke extended the feed-forward hierarchical convolutional approach in the Neural Abstraction Pyramid by lateral and backward connections in order to flexibly incorporate context into decisions and iteratively resolve local ambiguities.
","Simpler models that use task-specific handcrafted features such as Gabor filters and support vector machines (SVMs) were a popular choice in the 1990s and 2000s, because of artificial neural network's (ANN) computational cost and a lack of understanding of how the brain wires its biological networks.
","["" What was a popular choice in the 1990's and 2000's?"", ' Why were simpler models popular?', ' What did ANN stand for?']","['Simpler models that use task-specific handcrafted features such as Gabor filters and support vector machines (SVMs)', ""artificial neural network's (ANN) computational cost and a lack of understanding of how the brain wires its biological networks"", 'artificial neural network']","[0.6460858583450317, 0.6359420120716095, 0.9734021127223969]"
56,deep learning,History,History,"Simpler models that use task-specific handcrafted features such as Gabor filters and support vector machines (SVMs) were a popular choice in the 1990s and 2000s, because of artificial neural network's (ANN) computational cost and a lack of understanding of how the brain wires its biological networks.
","Both shallow and deep learning (e.g., recurrent nets) of ANNs have been explored for many years. These methods never outperformed non-uniform internal-handcrafting Gaussian mixture model/Hidden Markov model (GMM-HMM) technology based on generative models of speech trained discriminatively. Key difficulties have been analyzed, including gradient diminishing and weak temporal correlation structure in neural predictive models. Additional difficulties were the lack of training data and limited computing power.
","[' How long have shallow and deep learning of ANNs been explored?', ' What did the methods never outperform non-uniform internal-handcrafting Gaussian mixture model/Hidden Markov model technology based on?', ' Key difficulties have been analyzed, including what?', ' What was one of the difficulties in analyzing neural predictive models?', ' What did the lack of training data cause?']","['many years', 'generative models of speech trained discriminatively', 'gradient diminishing and weak temporal correlation structure in neural predictive models', 'gradient diminishing and weak temporal correlation structure', 'limited computing power']","[0.888142317533493, 0.8905435800552368, 0.7599267661571503, 0.6423572599887848, 0.6306523978710175]"
57,deep learning,History,History,"Both shallow and deep learning (e.g., recurrent nets) of ANNs have been explored for many years. These methods never outperformed non-uniform internal-handcrafting Gaussian mixture model/Hidden Markov model (GMM-HMM) technology based on generative models of speech trained discriminatively. Key difficulties have been analyzed, including gradient diminishing and weak temporal correlation structure in neural predictive models. Additional difficulties were the lack of training data and limited computing power.
","Most speech recognition researchers moved away from neural nets to pursue generative modeling. An exception was at SRI International in the late 1990s. Funded by the US government's NSA and DARPA, SRI studied deep neural networks in speech and speaker recognition. The speaker recognition team led by Larry Heck reported significant success with deep neural networks in speech processing in the 1998 National Institute of Standards and Technology Speaker Recognition evaluation. The SRI deep neural network was then deployed in the Nuance Verifier, representing the first major industrial application of deep learning.","[' What did most speech recognition researchers move away from to pursue?', ' What did SRI International study?', ' Who led the speaker recognition team?', ' What did Larry Heck report success with in 1998?', ' The SRI deep neural network was deployed in what?', ' What is the name of the first industrial application of deep learning?']","['generative modeling', 'deep neural networks in speech and speaker recognition', 'Larry Heck', 'deep neural networks in speech processing', 'Nuance Verifier', 'Nuance Verifier']","[0.48180554807186127, 0.7890869677066803, 0.9972816705703735, 0.5274158418178558, 0.8354619145393372, 0.9234102070331573]"
58,deep learning,History,History,"Most speech recognition researchers moved away from neural nets to pursue generative modeling. An exception was at SRI International in the late 1990s. Funded by the US government's NSA and DARPA, SRI studied deep neural networks in speech and speaker recognition. The speaker recognition team led by Larry Heck reported significant success with deep neural networks in speech processing in the 1998 National Institute of Standards and Technology Speaker Recognition evaluation. The SRI deep neural network was then deployed in the Nuance Verifier, representing the first major industrial application of deep learning.","The principle of elevating ""raw"" features over hand-crafted optimization was first explored successfully in the architecture of deep autoencoder on the ""raw"" spectrogram or linear filter-bank features in the late 1990s, showing its superiority over the Mel-Cepstral features that contain stages of fixed transformation from spectrograms. The raw features of speech, waveforms, later produced excellent larger-scale results.","[' In what decade was the principle of elevating ""raw"" features over hand-crafted optimization first explored?', ' What features contain stages of fixed transformation from spectrograms?', ' In what year did deep autoencoder demonstrate its superiority over Mel-Cepstral features?', ' What are the stages of fixed transformation from spectrograms?', ' The raw features of speech, waveforms, later produced what?']","['1990s', 'Mel-Cepstral', '1990s', 'Mel-Cepstral features', 'excellent larger-scale results']","[0.7985826432704926, 0.7990215718746185, 0.7344167828559875, 0.842666894197464, 0.809035986661911]"
59,deep learning,History,History,"The principle of elevating ""raw"" features over hand-crafted optimization was first explored successfully in the architecture of deep autoencoder on the ""raw"" spectrogram or linear filter-bank features in the late 1990s, showing its superiority over the Mel-Cepstral features that contain stages of fixed transformation from spectrograms. The raw features of speech, waveforms, later produced excellent larger-scale results.","Many aspects of speech recognition were taken over by a deep learning method called long short-term memory (LSTM), a recurrent neural network published by Hochreiter and Schmidhuber in 1997. LSTM RNNs avoid the vanishing gradient problem and can learn ""Very Deep Learning"" tasks that require memories of events that happened thousands of discrete time steps before, which is important for speech. In 2003, LSTM started to become competitive with traditional speech recognizers on certain tasks. Later it was combined with connectionist temporal classification (CTC) in stacks of LSTM RNNs. In 2015, Google's speech recognition reportedly experienced a dramatic performance jump of 49% through CTC-trained LSTM, which they made available through Google Voice Search.","[' What is long short-term memory?', ' When was LSTM published?', ' What is a recurrent neural network called?', ' What tasks require memories of events that happened thousands of discrete time steps before?', ' When did LSTM start to become competitive with traditional speech recognizers?', ' What was combined with connectionist temporal classification?', ' What is connectionist temporal classification?', "" What was the performance jump of Google's speech recognition in 2015?"", ' How much performance jump did Google experience through CTC-trained LSTM?']","['a recurrent neural network', '1997', 'long short-term memory', 'Very Deep Learning', '2003', 'LSTM', 'CTC', '49%', '49%']","[0.42325183749198914, 0.9831070899963379, 0.4362461119890213, 0.6532316952943802, 0.9785553216934204, 0.7422688901424408, 0.835094153881073, 0.9839767515659332, 0.7350649833679199]"
60,deep learning,History,History,"Many aspects of speech recognition were taken over by a deep learning method called long short-term memory (LSTM), a recurrent neural network published by Hochreiter and Schmidhuber in 1997. LSTM RNNs avoid the vanishing gradient problem and can learn ""Very Deep Learning"" tasks that require memories of events that happened thousands of discrete time steps before, which is important for speech. In 2003, LSTM started to become competitive with traditional speech recognizers on certain tasks. Later it was combined with connectionist temporal classification (CTC) in stacks of LSTM RNNs. In 2015, Google's speech recognition reportedly experienced a dramatic performance jump of 49% through CTC-trained LSTM, which they made available through Google Voice Search.","In 2006, publications by Geoff Hinton, Ruslan Salakhutdinov, Osindero and Teh showed how a many-layered feedforward neural network could be effectively pre-trained one layer at a time, treating each layer in turn as an unsupervised restricted Boltzmann machine, then fine-tuning it using supervised backpropagation. The papers referred to learning for deep belief nets.
","[' In what year did Geoff Hinton, Ruslan Salakhutdinov, Osindero and Teh publish their papers?', ' How was a many-layered feedforward neural network effectively pre-trained?', ' What did the papers refer to?', ' How did the papers refer to learning for deep belief nets?']","['2006', 'one layer at a time', 'learning for deep belief nets', 'supervised backpropagation']","[0.9777357578277588, 0.5056431442499161, 0.9580219686031342, 0.42996425181627274]"
61,deep learning,History,History,"In 2006, publications by Geoff Hinton, Ruslan Salakhutdinov, Osindero and Teh showed how a many-layered feedforward neural network could be effectively pre-trained one layer at a time, treating each layer in turn as an unsupervised restricted Boltzmann machine, then fine-tuning it using supervised backpropagation. The papers referred to learning for deep belief nets.
","Deep learning is part of state-of-the-art systems in various disciplines, particularly computer vision and automatic speech recognition (ASR). Results on commonly used evaluation sets such as TIMIT (ASR) and MNIST (image classification), as well as a range of large-vocabulary speech recognition tasks have steadily improved. Convolutional neural networks (CNNs) were superseded for ASR by CTC for LSTM. but are more successful in computer vision.
","[' What type of learning is part of state-of-the-art systems in various disciplines?', ' What are two examples of commonly used evaluation sets?', ' How have results on TIMIT and MNIST improved?', ' What has steadily improved?', ' What was superseded for ASR by CTC for LSTM?']","['Deep learning', 'TIMIT (ASR) and MNIST (image classification),', 'steadily improved', 'Results on commonly used evaluation sets such as TIMIT (ASR) and MNIST (image classification), as well as a range of large-vocabulary speech recognition tasks', 'Convolutional neural networks (CNNs)']","[0.8548823297023773, 0.7012297064065933, 0.6106613576412201, 0.6288845986127853, 0.6285084038972855]"
62,deep learning,History,History,"Deep learning is part of state-of-the-art systems in various disciplines, particularly computer vision and automatic speech recognition (ASR). Results on commonly used evaluation sets such as TIMIT (ASR) and MNIST (image classification), as well as a range of large-vocabulary speech recognition tasks have steadily improved. Convolutional neural networks (CNNs) were superseded for ASR by CTC for LSTM. but are more successful in computer vision.
","The impact of deep learning in industry began in the early 2000s, when CNNs already processed an estimated 10% to 20% of all the checks written in the US, according to Yann LeCun. Industrial applications of deep learning to large-scale speech recognition started around 2010.
","[' When did the impact of deep learning in industry begin?', ' How much of the checks written in the US were processed by CNNs?', ' What was the estimated percentage of checks that CNNs processed?', ' When did industrial applications for deep learning start?']","['early 2000s', '10% to 20%', '10% to 20%', '2010']","[0.7540768980979919, 0.5869438946247101, 0.7377613484859467, 0.7078802585601807]"
63,deep learning,History,History,"The impact of deep learning in industry began in the early 2000s, when CNNs already processed an estimated 10% to 20% of all the checks written in the US, according to Yann LeCun. Industrial applications of deep learning to large-scale speech recognition started around 2010.
","The 2009 NIPS Workshop on Deep Learning for Speech Recognition was motivated by the limitations of deep generative models of speech, and the possibility that given more capable hardware and large-scale data sets that deep neural nets (DNN) might become practical. It was believed that pre-training DNNs using generative models of deep belief nets (DBN) would overcome the main difficulties of neural nets. However, it was discovered that replacing pre-training with large amounts of training data for straightforward backpropagation when using DNNs with large, context-dependent output layers produced error rates dramatically lower than then-state-of-the-art Gaussian mixture model (GMM)/Hidden Markov Model (HMM) and also than more-advanced generative model-based systems. The nature of the recognition errors produced by the two types of systems was characteristically different, offering technical insights into how to integrate deep learning into the existing highly efficient, run-time speech decoding system deployed by all major speech recognition systems. Analysis around 2009–2010, contrasting the GMM (and other generative speech models) vs. DNN models, stimulated early industrial investment in deep learning for speech recognition, eventually leading to pervasive and dominant use in that industry. That analysis was done with comparable performance (less than 1.5% in error rate) between discriminative DNNs and generative models.","[' What was the motivation for the 2009 NIPS Workshop on Deep Learning for Speech Recognition?', ' What was motivated by the limitations of deep generative models of speech and the possibility that more capable hardware and data sets might become practical?', ' What was believed to overcome the main difficulties of neural nets?', ' What was found to produce error rates when using DNNs with large, context-dependent output layers?', ' DNNs with large, context-dependent output layers produced error rates dramatically lower than what?', ' GMM/HMM are what type of model-based systems?', ' What was characteristically different between GMM and HMM?', ' The nature of the recognition errors produced by the two types of systems was what kind of insight?', ' What was characteristically different about deep learning?', ' What did analysis around 2009-2010 stimulate?', ' What type of models stimulated early industrial investment in deep learning for speech recognition?', ' What was the error rate between discriminative DNNs and generative models?']","['the limitations of deep generative models of speech', 'The 2009 NIPS Workshop on Deep Learning for Speech Recognition', 'pre-training DNNs using generative models of deep belief nets (DBN)', 'replacing pre-training with large amounts of training data for straightforward backpropagation', 'then-state-of-the-art Gaussian mixture model (GMM)/Hidden Markov Model (HMM)', 'generative', 'The nature of the recognition errors', 'technical', 'The nature of the recognition errors', 'early industrial investment in deep learning for speech recognition', 'generative speech models) vs. DNN models', 'less than 1.5%']","[0.6292077302932739, 0.6451429426670074, 0.6477378755807877, 0.7041566669940948, 0.47364698350429535, 0.5563042759895325, 0.5549067854881287, 0.5524966418743134, 0.48387011885643005, 0.6656680703163147, 0.31712332367897034, 0.6889908015727997]"
64,deep learning,History,History,"The 2009 NIPS Workshop on Deep Learning for Speech Recognition was motivated by the limitations of deep generative models of speech, and the possibility that given more capable hardware and large-scale data sets that deep neural nets (DNN) might become practical. It was believed that pre-training DNNs using generative models of deep belief nets (DBN) would overcome the main difficulties of neural nets. However, it was discovered that replacing pre-training with large amounts of training data for straightforward backpropagation when using DNNs with large, context-dependent output layers produced error rates dramatically lower than then-state-of-the-art Gaussian mixture model (GMM)/Hidden Markov Model (HMM) and also than more-advanced generative model-based systems. The nature of the recognition errors produced by the two types of systems was characteristically different, offering technical insights into how to integrate deep learning into the existing highly efficient, run-time speech decoding system deployed by all major speech recognition systems. Analysis around 2009–2010, contrasting the GMM (and other generative speech models) vs. DNN models, stimulated early industrial investment in deep learning for speech recognition, eventually leading to pervasive and dominant use in that industry. That analysis was done with comparable performance (less than 1.5% in error rate) between discriminative DNNs and generative models.","In 2010, researchers extended deep learning from TIMIT to large vocabulary speech recognition, by adopting large output layers of the DNN based on context-dependent HMM states constructed by decision trees.","[' When did researchers extend deep learning from TIMIT to large vocabulary speech recognition?', ' Researchers adopted large output layers of the DNN based on what?']","['2010', 'context-dependent HMM states']","[0.9776420593261719, 0.6987705528736115]"
65,deep learning,History,History,"In 2010, researchers extended deep learning from TIMIT to large vocabulary speech recognition, by adopting large output layers of the DNN based on context-dependent HMM states constructed by decision trees.","Advances in hardware have driven renewed interest in deep learning. In 2009, Nvidia was involved in what was called the “big bang” of deep learning, “as deep-learning neural networks were trained with Nvidia graphics processing units (GPUs).” That year, Andrew Ng determined that GPUs could increase the speed of deep-learning systems by about 100 times. In particular, GPUs are well-suited for the matrix/vector computations involved in machine learning. GPUs speed up training algorithms by orders of magnitude, reducing running times from weeks to days. Further, specialized hardware and algorithm optimizations can be used for efficient processing of deep learning models.","[' What has driven renewed interest in deep learning?', ' What was Nvidia involved in in 2009?', ' Who determined that GPUs could increase the speed of deep-learning?', ' Ng determined that GPUs could increase the speed of deep-learning systems by how many times?', ' GPUs are well-suited for the matrix/vector computations involved in what type of computation?', ' What does GPUs speed up training algorithms by?', ' How can specialized hardware and algorithm optimizations be used for efficient processing of deep learning models?']","['Advances in hardware', 'the “big bang” of deep learning', 'Andrew Ng', '100', 'machine learning', 'orders of magnitude', 'GPUs speed up training algorithms by orders of magnitude, reducing running times from weeks to days']","[0.9751278460025787, 0.5376405566930771, 0.9888268411159515, 0.6801014840602875, 0.9831010401248932, 0.9691629111766815, 0.3472064360976219]"
66,deep learning,History,Hardware,"Advances in hardware have driven renewed interest in deep learning. In 2009, Nvidia was involved in what was called the “big bang” of deep learning, “as deep-learning neural networks were trained with Nvidia graphics processing units (GPUs).” That year, Andrew Ng determined that GPUs could increase the speed of deep-learning systems by about 100 times. In particular, GPUs are well-suited for the matrix/vector computations involved in machine learning. GPUs speed up training algorithms by orders of magnitude, reducing running times from weeks to days. Further, specialized hardware and algorithm optimizations can be used for efficient processing of deep learning models.","Since the 2010s, advances in both machine learning algorithms and computer hardware have led to more efficient methods for training deep neural networks that contain many layers of non-linear hidden units and a very large output layer. By 2019, graphic processing units (GPUs), often with AI-specific enhancements, had displaced CPUs as the dominant method of training large-scale commercial cloud AI. OpenAI estimated the hardware computation used in the largest deep learning projects from AlexNet (2012) to AlphaZero (2017), and found a 300,000-fold increase in the amount of computation required, with a doubling-time trendline of 3.4 months.","[' In what decade did advances in machine learning algorithms and computer hardware lead to more efficient methods for training deep neural networks?', ' By 2019, graphic processing units (GPUs) had displaced what CPUs?', ' What was the dominant method of training large-scale commercial cloud AI?', ' What did OpenAI estimate the hardware computation used in the largest deep learning projects from AlexNet (2012) to AlphaZero (2017)?', ' How many times increased the amount of computation required?', ' How many times has the amount of computation required increased?', ' What is the doubling-time trendline of 3.4 months?']","['2010s', 'CPUs', 'CPUs', '300,000-fold increase in the amount of computation required', '300,000-fold', '300,000-fold', '300,000-fold increase in the amount of computation required']","[0.9157704710960388, 0.8707824647426605, 0.5602693259716034, 0.5015077888965607, 0.8811346292495728, 0.7206800580024719, 0.30029140412807465]"
67,deep learning,Hardware,Relation to human cognitive and brain development,"Since the 2010s, advances in both machine learning algorithms and computer hardware have led to more efficient methods for training deep neural networks that contain many layers of non-linear hidden units and a very large output layer. By 2019, graphic processing units (GPUs), often with AI-specific enhancements, had displaced CPUs as the dominant method of training large-scale commercial cloud AI. OpenAI estimated the hardware computation used in the largest deep learning projects from AlexNet (2012) to AlphaZero (2017), and found a 300,000-fold increase in the amount of computation required, with a doubling-time trendline of 3.4 months.","Deep learning is closely related to a class of theories of brain development (specifically, neocortical development) proposed by cognitive neuroscientists in the early 1990s. These developmental theories were instantiated in computational models, making them predecessors of deep learning systems. These developmental models share the property that various proposed learning dynamics in the brain (e.g., a wave of nerve growth factor) support the self-organization somewhat analogous to the neural networks utilized in deep learning models. Like the neocortex, neural networks employ a hierarchy of layered filters in which each layer considers information from a prior layer (or the operating environment), and then passes its output (and possibly the original input), to other layers. This process yields a self-organizing stack of transducers, well-tuned to their operating environment. A 1995 description stated, ""...the infant's brain seems to organize itself under the influence of waves of so-called trophic-factors ... different regions of the brain become connected sequentially, with one layer of tissue maturing before another and so on until the whole brain is mature.""","[' Deep learning is closely related to what class of theories of brain development?', ' Deep learning theories were instantiated in what?', ' What model shares the property that various proposed learning dynamics in the brain support the self-organization somewhat analogous to the neural networks utilized in deep learning models?', ' Like the neocortex, neural networks employ a hierarchy of what?', ' What is a hierarchy of layered filters?', ' What does each layer consider from a prior layer?', "" How does the infant's brain organize itself?"", ' What do waves of so-called trophic-factors do?']","['neocortical development', 'computational models', 'developmental models', 'layered filters', 'each layer considers information from a prior layer (or the operating environment), and then passes its output (and possibly the original input), to other layers', 'information', 'under the influence of waves of so-called trophic-factors', 'become connected sequentially']","[0.9164331555366516, 0.9663722813129425, 0.36355920135974884, 0.9807503521442413, 0.5250217318534851, 0.9449560940265656, 0.7946308553218842, 0.31764160096645355]"
68,deep learning,Relation to human cognitive and brain development,Relation to human cognitive and brain development,"Deep learning is closely related to a class of theories of brain development (specifically, neocortical development) proposed by cognitive neuroscientists in the early 1990s. These developmental theories were instantiated in computational models, making them predecessors of deep learning systems. These developmental models share the property that various proposed learning dynamics in the brain (e.g., a wave of nerve growth factor) support the self-organization somewhat analogous to the neural networks utilized in deep learning models. Like the neocortex, neural networks employ a hierarchy of layered filters in which each layer considers information from a prior layer (or the operating environment), and then passes its output (and possibly the original input), to other layers. This process yields a self-organizing stack of transducers, well-tuned to their operating environment. A 1995 description stated, ""...the infant's brain seems to organize itself under the influence of waves of so-called trophic-factors ... different regions of the brain become connected sequentially, with one layer of tissue maturing before another and so on until the whole brain is mature.""","A variety of approaches have been used to investigate the plausibility of deep learning models from a neurobiological perspective. On the one hand, several variants of the backpropagation algorithm have been proposed in order to increase its processing realism. Other researchers have argued that unsupervised forms of deep learning, such as those based on hierarchical generative models and deep belief networks, may be closer to biological reality. In this respect, generative neural network models have been related to neurobiological evidence about sampling-based processing in the cerebral cortex.","[' What has been used to investigate the plausibility of deep learning models from a neurobiological perspective?', ' What have several variants of the backpropagation algorithm been proposed in order to increase its processing realism?', ' Researchers have argued that unsupervised forms of deep learning may be closer to what?', ' generative neural network models have been related to what evidence?']","['A variety of approaches', 'deep learning models', 'biological reality', 'neurobiological evidence about sampling-based processing in the cerebral cortex']","[0.8481274545192719, 0.050240905955433846, 0.979649007320404, 0.5998762845993042]"
69,deep learning,Relation to human cognitive and brain development,Commercial activity,"Although a systematic comparison between the human brain organization and the neuronal encoding in deep networks has not yet been established, several analogies have been reported. For example, the computations performed by deep learning units could be similar to those of actual neurons and neural populations. Similarly, the representations developed by deep learning models are similar to those measured in the primate visual system both at the single-unit and at the population levels.
",Facebook's AI lab performs tasks such as automatically tagging uploaded pictures with the names of the people in them.,"["" What does Facebook's AI lab do?"", ' What does the AI lab tag uploaded pictures?']","['automatically tagging uploaded pictures with the names of the people in them', 'the names of the people in them']","[0.708343893289566, 0.5676580518484116]"
70,deep learning,Commercial activity,Commercial activity,Facebook's AI lab performs tasks such as automatically tagging uploaded pictures with the names of the people in them.,"Google's DeepMind Technologies developed a system capable of learning how to play Atari video games using only pixels as data input. In 2015 they demonstrated their AlphaGo system, which learned the game of Go well enough to beat a professional Go player. Google Translate uses a neural network to translate between more than 100 languages.
","[' What company developed a system capable of learning how to play Atari video games?', ' What year did DeepMind Technologies demonstrate their AlphaGo system?', ' What does Google Translate use to translate between more than 100 languages?']","['DeepMind Technologies', '2015', 'a neural network']","[0.8525890409946442, 0.9739894270896912, 0.8645278811454773]"
71,deep learning,Commercial activity,Commercial activity,"Google's DeepMind Technologies developed a system capable of learning how to play Atari video games using only pixels as data input. In 2015 they demonstrated their AlphaGo system, which learned the game of Go well enough to beat a professional Go player. Google Translate uses a neural network to translate between more than 100 languages.
","In 2015, Blippar demonstrated a mobile augmented reality application that uses deep learning to recognize objects in real time.",[' In what year did Blippar demonstrate a mobile augmented reality application that uses deep learning to recognize objects in real time?'],['2015'],[0.9950196743011475]
72,deep learning,Commercial activity,Commercial activity,"In 2015, Blippar demonstrated a mobile augmented reality application that uses deep learning to recognize objects in real time.","In 2017, Covariant.ai was launched, which focuses on integrating deep learning into factories.",[' In what year was Covariant.ai launched?'],['2017'],[0.9922012984752655]
73,deep learning,Commercial activity,Commercial activity,"In 2017, Covariant.ai was launched, which focuses on integrating deep learning into factories.","As of 2008, researchers at The University of Texas at Austin (UT) developed a machine learning framework called Training an Agent Manually via Evaluative Reinforcement, or TAMER, which proposed new methods for robots or computer programs to learn how to perform tasks by interacting with a human instructor. First developed as TAMER, a new algorithm called Deep TAMER was later introduced in 2018 during a collaboration between U.S. Army Research Laboratory (ARL) and UT researchers. Deep TAMER used deep learning to provide a robot the ability to learn new tasks through observation. Using Deep TAMER, a robot learned a task with a human trainer, watching video streams or observing a human perform a task in-person. The robot later practiced the task with the help of some coaching from the trainer, who provided feedback such as “good job” and “bad job.”","[' What was the name of the machine learning framework developed by researchers at the University of Texas at Austin?', ' What is TAMER?', ' How did robots learn to perform tasks?', ' What is the name of the new algorithm developed by the U.S. Army Research Laboratory?', ' Deep TAMER was introduced in what year?', ' What did deep learning do for a robot?', ' How did a robot learn a task using Deep TAMER?', ' How did the robot learn the task?', ' What was the robot able to do with the help of the trainer?', ' What kind of feedback did the trainer give?']","['Training an Agent Manually via Evaluative Reinforcement', 'Training an Agent Manually via Evaluative Reinforcement', 'by interacting with a human instructor', 'Deep TAMER', '2018', 'the ability to learn new tasks through observation', 'through observation. Using Deep TAMER, a robot learned a task with a human trainer, watching video streams or observing a human perform a task in-person', 'watching video streams or observing a human perform a task in-person', 'practiced the task', '“good job” and “bad job']","[0.6306014358997345, 0.6723159551620483, 0.7702365219593048, 0.628844678401947, 0.9931798577308655, 0.5283106863498688, 0.43087470531463623, 0.31398074328899384, 0.626839816570282, 0.47630675137043]"
74,deep learning,Commercial activity,Criticism and comment,"As of 2008, researchers at The University of Texas at Austin (UT) developed a machine learning framework called Training an Agent Manually via Evaluative Reinforcement, or TAMER, which proposed new methods for robots or computer programs to learn how to perform tasks by interacting with a human instructor. First developed as TAMER, a new algorithm called Deep TAMER was later introduced in 2018 during a collaboration between U.S. Army Research Laboratory (ARL) and UT researchers. Deep TAMER used deep learning to provide a robot the ability to learn new tasks through observation. Using Deep TAMER, a robot learned a task with a human trainer, watching video streams or observing a human perform a task in-person. The robot later practiced the task with the help of some coaching from the trainer, who provided feedback such as “good job” and “bad job.”","Deep learning has attracted both criticism and comment, in some cases from outside the field of computer science.
","[' What has deep learning attracted both criticism and comment?', ' Deep learning has attracted criticism from outside what field?']","['outside the field of computer science', 'computer science']","[0.4017539545893669, 0.9406859278678894]"
