,topic,section,full_text,prefix,suffix,questions,answers,scores
48,deep learning,Relation to human cognitive and brain development,"Although a systematic comparison between the human brain organization and the neuronal encoding in deep networks has not yet been established, several analogies have been reported. For example, the computations performed by deep learning units could be similar to those of actual neurons and neural populations. Similarly, the representations developed by deep learning models are similar to those measured in the primate visual system both at the single-unit and at the population levels.
","Although a systematic comparison between the human brain organization and the neuronal encoding in deep networks has not yet been established, several analogies have been reported. For example, the computations performed by deep learning units could be similar to those of actual neurons and neural populations.","Similarly, the representations developed by deep learning models are similar to those measured in the primate visual system both at the single-unit and at the population levels.",[' What are the representations developed by deep learning models similar to?'],['those measured in the primate visual system both at the single-unit and at the population levels'],[0.5792076885700226]
49,deep learning,Commercial activity,"Google's DeepMind Technologies developed a system capable of learning how to play Atari video games using only pixels as data input. In 2015 they demonstrated their AlphaGo system, which learned the game of Go well enough to beat a professional Go player. Google Translate uses a neural network to translate between more than 100 languages.
","Google's DeepMind Technologies developed a system capable of learning how to play Atari video games using only pixels as data input. In 2015 they demonstrated their AlphaGo system, which learned the game of Go well enough to beat a professional Go player.",Google Translate uses a neural network to translate between more than 100 languages.,[' Google Translate uses a neural network to translate between how many languages?'],['more than 100'],[0.7333177626132965]
50,deep learning,Commercial activity,"As of 2008, researchers at The University of Texas at Austin (UT) developed a machine learning framework called Training an Agent Manually via Evaluative Reinforcement, or TAMER, which proposed new methods for robots or computer programs to learn how to perform tasks by interacting with a human instructor. First developed as TAMER, a new algorithm called Deep TAMER was later introduced in 2018 during a collaboration between U.S. Army Research Laboratory (ARL) and UT researchers. Deep TAMER used deep learning to provide a robot the ability to learn new tasks through observation. Using Deep TAMER, a robot learned a task with a human trainer, watching video streams or observing a human perform a task in-person. The robot later practiced the task with the help of some coaching from the trainer, who provided feedback such as “good job” and “bad job.”","As of 2008, researchers at The University of Texas at Austin (UT) developed a machine learning framework called Training an Agent Manually via Evaluative Reinforcement, or TAMER, which proposed new methods for robots or computer programs to learn how to perform tasks by interacting with a human instructor. First developed as TAMER, a new algorithm called Deep TAMER was later introduced in 2018 during a collaboration between U.S. Army Research Laboratory (ARL) and UT researchers.","Deep TAMER used deep learning to provide a robot the ability to learn new tasks through observation. Using Deep TAMER, a robot learned a task with a human trainer, watching video streams or observing a human perform a task in-person. The robot later practiced the task with the help of some coaching from the trainer, who provided feedback such as “good job” and “bad job.”","[' Deep TAMER used deep learning to provide a robot the ability to learn new tasks through what?', ' A robot learned a task with a human trainer, watching video streams or what else?', ' The robot later practiced the task with the help of who?', ' What kind of feedback did the robot get from the trainer?']","['observation', 'observing a human perform a task in-person', 'the trainer', '“good job” and “bad job']","[0.990683913230896, 0.9490628242492676, 0.45566143095493317, 0.5511382669210434]"
51,data mining,Summary,"Data mining is a process of extracting and discovering patterns in large data sets involving methods at the intersection of machine learning, statistics, and database systems. Data mining is an interdisciplinary subfield of computer science and statistics with an overall goal of extracting information (with intelligent methods) from a data set and transform the information into a comprehensible structure for further use. Data mining is the analysis step of the ""knowledge discovery in databases"" process, or KDD. Aside from the raw analysis step, it also involves database and data management aspects, data pre-processing, model and inference considerations, interestingness metrics, complexity considerations, post-processing of discovered structures, visualization, and online updating.","Data mining is a process of extracting and discovering patterns in large data sets involving methods at the intersection of machine learning, statistics, and database systems. Data mining is an interdisciplinary subfield of computer science and statistics with an overall goal of extracting information (with intelligent methods) from a data set and transform the information into a comprehensible structure for further use.","Data mining is the analysis step of the ""knowledge discovery in databases"" process, or KDD. Aside from the raw analysis step, it also involves database and data management aspects, data pre-processing, model and inference considerations, interestingness metrics, complexity considerations, post-processing of discovered structures, visualization, and online updating.","[' What is the analysis step of the ""knowledge discovery in databases"" process?', ' What does KDD involve other than the raw analysis step?']","['Data mining', 'database and data management aspects']","[0.9825804233551025, 0.6369207203388214]"
52,data mining,Summary,"The term ""data mining"" is a misnomer, because the goal is the extraction of patterns and knowledge from large amounts of data, not the extraction (mining) of data itself. It also is a buzzword and is frequently applied to any form of large-scale data or information processing (collection, extraction, warehousing, analysis, and statistics) as well as any application of computer decision support system, including artificial intelligence (e.g., machine learning) and business intelligence. The book Data mining: Practical machine learning tools and techniques with Java (which covers mostly machine learning material) was originally to be named just Practical machine learning, and the term data mining was only added for marketing reasons. Often the more general terms (large scale) data analysis and analytics—or, when referring to actual methods, artificial intelligence and machine learning—are more appropriate.
","The term ""data mining"" is a misnomer, because the goal is the extraction of patterns and knowledge from large amounts of data, not the extraction (mining) of data itself. It also is a buzzword and is frequently applied to any form of large-scale data or information processing (collection, extraction, warehousing, analysis, and statistics) as well as any application of computer decision support system, including artificial intelligence (e.g., machine learning) and business intelligence.","The book Data mining: Practical machine learning tools and techniques with Java (which covers mostly machine learning material) was originally to be named just Practical machine learning, and the term data mining was only added for marketing reasons. Often the more general terms (large scale) data analysis and analytics—or, when referring to actual methods, artificial intelligence and machine learning—are more appropriate.","[' What was the original name of Data mining: Practical machine learning tools and techniques with Java?', ' Why was the term data mining added to the book?', ' What are the more general terms for large scale data analysis and analytics?', ' What are more appropriate when referring to actual methods?']","['Practical machine learning', 'marketing reasons', 'artificial intelligence and machine learning', 'artificial intelligence and machine learning']","[0.8769824802875519, 0.7632917165756226, 0.5085797756910324, 0.7624173760414124]"
53,data mining,Summary,"The actual data mining task is the semi-automatic or automatic analysis of large quantities of data to extract previously unknown, interesting patterns such as groups of data records (cluster analysis), unusual records (anomaly detection), and dependencies (association rule mining, sequential pattern mining). This usually involves using database techniques such as spatial indices. These patterns can then be seen as a kind of summary of the input data, and may be used in further analysis or, for example, in machine learning and predictive analytics. For example, the data mining step might identify multiple groups in the data, which can then be used to obtain more accurate prediction results by a decision support system. Neither the data collection, data preparation, nor result interpretation and reporting is part of the data mining step, but do belong to the overall KDD process as additional steps.
","The actual data mining task is the semi-automatic or automatic analysis of large quantities of data to extract previously unknown, interesting patterns such as groups of data records (cluster analysis), unusual records (anomaly detection), and dependencies (association rule mining, sequential pattern mining). This usually involves using database techniques such as spatial indices.","These patterns can then be seen as a kind of summary of the input data, and may be used in further analysis or, for example, in machine learning and predictive analytics. For example, the data mining step might identify multiple groups in the data, which can then be used to obtain more accurate prediction results by a decision support system. Neither the data collection, data preparation, nor result interpretation and reporting is part of the data mining step, but do belong to the overall KDD process as additional steps.","[' What can be seen as a kind of summary of the input data?', ' Machine learning and predictive analytics are examples of what?', ' What might the data mining step identify multiple groups in?', ' What can be used to obtain more accurate prediction results by a decision support system?', ' Data collection, data preparation, and result interpretation and reporting are not part of what step?']","['patterns', 'These patterns', 'the data', 'the data mining step', 'data mining step']","[0.8256309628486633, 0.3527442067861557, 0.7896385192871094, 0.4742238372564316, 0.5708035081624985]"
54,data mining,Etymology,"In the 1960s, statisticians and economists used terms like data fishing or data dredging to refer to what they considered the bad practice of analyzing data without an a-priori hypothesis. The term ""data mining"" was used in a similarly critical way by economist Michael Lovell in an article published in the Review of Economic Studies in 1983. Lovell indicates that the practice ""masquerades under a variety of aliases, ranging from ""experimentation"" (positive) to ""fishing"" or ""snooping"" (negative).
","In the 1960s, statisticians and economists used terms like data fishing or data dredging to refer to what they considered the bad practice of analyzing data without an a-priori hypothesis. The term ""data mining"" was used in a similarly critical way by economist Michael Lovell in an article published in the Review of Economic Studies in 1983.","Lovell indicates that the practice ""masquerades under a variety of aliases, ranging from ""experimentation"" (positive) to ""fishing"" or ""snooping"" (negative).","[' What does Lovell say the practice masquerades under a variety of aliases?', ' What is a positive word for experimentation?']","['experimentation', 'experimentation']","[0.16391251236200333, 0.6783678829669952]"
55,data mining,Etymology,"The term data mining appeared around 1990 in the database community, generally with positive connotations. For a short time in 1980s, a phrase ""database mining""™, was used, but since it was trademarked by HNC, a San Diego-based company, to pitch their Database Mining Workstation; researchers consequently turned to data mining. Other terms used include data archaeology, information harvesting, information discovery, knowledge extraction, etc. Gregory Piatetsky-Shapiro coined the term ""knowledge discovery in databases"" for the first workshop on the same topic (KDD-1989) and this term became more popular in AI and machine learning community. However, the term data mining became more popular in the business and press communities. Currently, the terms data mining and knowledge discovery are used interchangeably.
","The term data mining appeared around 1990 in the database community, generally with positive connotations. For a short time in 1980s, a phrase ""database mining""™, was used, but since it was trademarked by HNC, a San Diego-based company, to pitch their Database Mining Workstation; researchers consequently turned to data mining.","Other terms used include data archaeology, information harvesting, information discovery, knowledge extraction, etc. Gregory Piatetsky-Shapiro coined the term ""knowledge discovery in databases"" for the first workshop on the same topic (KDD-1989) and this term became more popular in AI and machine learning community. However, the term data mining became more popular in the business and press communities. Currently, the terms data mining and knowledge discovery are used interchangeably.","[' Who coined the term ""knowledge discovery in databases"" for the first workshop on the same topic?', ' What term became more popular in AI and machine learning community?', ' What term became more popular in the business and press communities?', ' What are the terms data mining and knowledge discovery used interchangeably?']","['Gregory Piatetsky-Shapiro', 'knowledge discovery in databases', 'data mining', 'data mining']","[0.9845908582210541, 0.662879467010498, 0.9057853817939758, 0.04790874943137169]"
56,data mining,Etymology,"In the academic community, the major forums for research started in 1995 when the First International Conference on Data Mining and Knowledge Discovery (KDD-95) was started in Montreal under AAAI sponsorship. It was co-chaired by Usama Fayyad and Ramasamy Uthurusamy. A year later, in 1996, Usama Fayyad launched the journal by Kluwer called Data Mining and Knowledge Discovery as its founding editor-in-chief. Later he started the SIGKDD Newsletter SIGKDD Explorations. The KDD International conference became the primary highest quality conference in data mining with an acceptance rate of research paper submissions below 18%. The journal Data Mining and Knowledge Discovery is the primary research journal of the field.
","In the academic community, the major forums for research started in 1995 when the First International Conference on Data Mining and Knowledge Discovery (KDD-95) was started in Montreal under AAAI sponsorship. It was co-chaired by Usama Fayyad and Ramasamy Uthurusamy.","A year later, in 1996, Usama Fayyad launched the journal by Kluwer called Data Mining and Knowledge Discovery as its founding editor-in-chief. Later he started the SIGKDD Newsletter SIGKDD Explorations. The KDD International conference became the primary highest quality conference in data mining with an acceptance rate of research paper submissions below 18%. The journal Data Mining and Knowledge Discovery is the primary research journal of the field.","[' When did Usama Fayyad launch Data Mining and Knowledge Discovery?', ' What was the name of the journal by Kluwer called?', ' Who was the founding editor-in-chief of the Kluwer journal?', ' The KDD International conference became the primary highest quality conference in what field?', ' What is the acceptance rate of research paper submissions in data mining?', ' Data Mining and Knowledge Discovery is the primary research journal of what field?']","['1996', 'Data Mining and Knowledge Discovery', 'Usama Fayyad', 'data mining', 'below 18%.', 'data mining']","[0.9662245512008667, 0.9235193133354187, 0.546513020992279, 0.987063080072403, 0.5923822522163391, 0.958573967218399]"
57,data mining,Background,"The manual extraction of patterns from data has occurred for centuries. Early methods of identifying patterns in data include Bayes' theorem (1700s) and regression analysis (1800s). The proliferation, ubiquity and increasing power of computer technology have dramatically increased data collection, storage, and manipulation ability. As data sets have grown in size and complexity, direct ""hands-on"" data analysis has increasingly been augmented with indirect, automated data processing, aided by other discoveries in computer science, specially in the field of machine learning, such as neural networks, cluster analysis, genetic algorithms (1950s), decision trees and decision rules (1960s), and support vector machines (1990s). Data mining is the process of applying these methods with the intention of uncovering hidden patterns. in large data sets. It bridges the gap from applied statistics and artificial intelligence (which usually provide the mathematical background) to database management by exploiting the way data is stored and indexed in databases to execute the actual learning and discovery algorithms more efficiently, allowing such methods to be applied to ever-larger data sets.
",The manual extraction of patterns from data has occurred for centuries. Early methods of identifying patterns in data include Bayes' theorem (1700s) and regression analysis (1800s).,"The proliferation, ubiquity and increasing power of computer technology have dramatically increased data collection, storage, and manipulation ability. As data sets have grown in size and complexity, direct ""hands-on"" data analysis has increasingly been augmented with indirect, automated data processing, aided by other discoveries in computer science, specially in the field of machine learning, such as neural networks, cluster analysis, genetic algorithms (1950s), decision trees and decision rules (1960s), and support vector machines (1990s). Data mining is the process of applying these methods with the intention of uncovering hidden patterns. in large data sets. It bridges the gap from applied statistics and artificial intelligence (which usually provide the mathematical background) to database management by exploiting the way data is stored and indexed in databases to execute the actual learning and discovery algorithms more efficiently, allowing such methods to be applied to ever-larger data sets.","[' What has dramatically increased data collection, storage, and manipulation ability?', ' What has increased as data sets have grown in size and complexity?', ' How has indirect, automated data processing been augmented?', ' In what decade were genetic algorithms first discovered?', ' What decade saw the discovery of decision trees and decision rules?', ' During what decade did support vector machines first appear?', ' What is the purpose of applying these methods?', ' What does it bridge the gap from applied statistics and artificial intelligence?', ' What can be indexed in databases to execute the actual learning and discovery algorithms?']","['The proliferation, ubiquity and increasing power of computer technology', 'data collection, storage, and manipulation ability', 'aided by other discoveries in computer science', '1950s', '1960s', '1990s', 'uncovering hidden patterns', 'Data mining', 'data']","[0.7180367559194565, 0.36182716488838196, 0.23649082705378532, 0.9532785713672638, 0.9531180262565613, 0.9432944059371948, 0.6394473612308502, 0.8591789603233337, 0.7307462394237518]"
58,data mining,Process,"Polls conducted in 2002, 2004, 2007 and 2014 show that the CRISP-DM methodology is the leading methodology used by data miners. The only other data mining standard named in these polls was SEMMA. However, 3–4 times as many people reported using CRISP-DM. Several teams of researchers have published reviews of data mining process models, and Azevedo and Santos conducted a comparison of CRISP-DM and SEMMA in 2008.","Polls conducted in 2002, 2004, 2007 and 2014 show that the CRISP-DM methodology is the leading methodology used by data miners. The only other data mining standard named in these polls was SEMMA.","However, 3–4 times as many people reported using CRISP-DM. Several teams of researchers have published reviews of data mining process models, and Azevedo and Santos conducted a comparison of CRISP-DM and SEMMA in 2008.","[' How many times as many people reported using CRISP-DM?', ' What has several teams of researchers published reviews of?', ' Azevedo and Santos conducted a comparison of what in 2008?']","['3–4', 'data mining process models', 'CRISP-DM and SEMMA']","[0.8089475929737091, 0.9671332836151123, 0.946826696395874]"
59,data mining,Standards,"There have been some efforts to define standards for the data mining process, for example, the 1999 European Cross Industry Standard Process for Data Mining (CRISP-DM 1.0) and the 2004 Java Data Mining standard (JDM 1.0). Development on successors to these processes (CRISP-DM 2.0 and JDM 2.0) was active in 2006 but has stalled since. JDM 2.0 was withdrawn without reaching a final draft.
","There have been some efforts to define standards for the data mining process, for example, the 1999 European Cross Industry Standard Process for Data Mining (CRISP-DM 1.0) and the 2004 Java Data Mining standard (JDM 1.0). Development on successors to these processes (CRISP-DM 2.0 and JDM 2.0) was active in 2006 but has stalled since.",JDM 2.0 was withdrawn without reaching a final draft.,[' What was withdrawn without reaching a final draft?'],['JDM 2.0'],[0.9766930937767029]
60,data mining,Standards,"For exchanging the extracted models—in particular for use in predictive analytics—the key standard is the Predictive Model Markup Language (PMML), which is an XML-based language developed by the Data Mining Group (DMG) and supported as exchange format by many data mining applications. As the name suggests, it only covers prediction models, a particular data mining task of high importance to business applications. However, extensions to cover (for example) subspace clustering have been proposed independently of the DMG.","For exchanging the extracted models—in particular for use in predictive analytics—the key standard is the Predictive Model Markup Language (PMML), which is an XML-based language developed by the Data Mining Group (DMG) and supported as exchange format by many data mining applications. As the name suggests, it only covers prediction models, a particular data mining task of high importance to business applications.","However, extensions to cover (for example) subspace clustering have been proposed independently of the DMG.",[' Extensions to cover subspace clustering have been proposed independently of what?'],['the DMG'],[0.7692156732082367]
61,data mining,Privacy concerns and ethics,"Data mining requires data preparation which uncovers information or patterns which compromise confidentiality and privacy obligations. A common way for this to occur is through data aggregation. Data aggregation involves combining data together (possibly from various sources) in a way that facilitates analysis (but that also might make identification of private, individual-level data deducible or otherwise apparent). This is not data mining per se, but a result of the preparation of data before—and for the purposes of—the analysis. The threat to an individual's privacy comes into play when the data, once compiled, cause the data miner, or anyone who has access to the newly compiled data set, to be able to identify specific individuals, especially when the data were originally anonymous.",Data mining requires data preparation which uncovers information or patterns which compromise confidentiality and privacy obligations. A common way for this to occur is through data aggregation.,"Data aggregation involves combining data together (possibly from various sources) in a way that facilitates analysis (but that also might make identification of private, individual-level data deducible or otherwise apparent). This is not data mining per se, but a result of the preparation of data before—and for the purposes of—the analysis. The threat to an individual's privacy comes into play when the data, once compiled, cause the data miner, or anyone who has access to the newly compiled data set, to be able to identify specific individuals, especially when the data were originally anonymous.","[' Data aggregation involves combining data together in a way that facilitates what?', ' What might make identification of private, individual-level data deducible?', "" What is a threat to an individual's privacy?"", ' Who can be able to identify specific individuals?', ' What is the purpose of the preparation of data?', ' To be able to identify specific individuals, especially when the data were originally anonymous?']","['analysis', 'Data aggregation', 'when the data, once compiled, cause the data miner, or anyone who has access to the newly compiled data set, to be able to identify specific individuals', 'the data miner', 'analysis', 'the data miner']","[0.9953294396400452, 0.8590757846832275, 0.36528556793928146, 0.473890095949173, 0.44808047264814377, 0.6481559723615646]"
62,data mining,Privacy concerns and ethics,"The inadvertent revelation of personally identifiable information leading to the provider violates Fair Information Practices.   This indiscretion can cause financial,
emotional, or bodily harm to the indicated individual.  In one instance of privacy violation, the patrons of Walgreens filed a lawsuit against the company in 2011 for selling
prescription information to data mining companies who in turn provided the data
to pharmaceutical companies.","The inadvertent revelation of personally identifiable information leading to the provider violates Fair Information Practices. This indiscretion can cause financial,
emotional, or bodily harm to the indicated individual.","In one instance of privacy violation, the patrons of Walgreens filed a lawsuit against the company in 2011 for selling
prescription information to data mining companies who in turn provided the data
to pharmaceutical companies.",[' In what year did patrons of Walgreens file a lawsuit against the company for selling prescription information to data mining companies?'],['2011'],[0.9912062883377075]
